Palaeococcus_pacificus_DY20341_WGS_GCF000725425v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Thermococci<O>Thermococcales<F>Thermococcaceae<G>Palaeococcus<S>Palaeococcus_pacificus
Thermococcus_paralvinellae_Strain_ES1_WGS_GCF000517445v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Thermococci<O>Thermococcales<F>Thermococcaceae<G>Thermococcus<S>Thermococcus_paralvinellae
Thermococcus_barophilus_Strain_CH5_WGS_GCF001433455v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Thermococci<O>Thermococcales<F>Thermococcaceae<G>Thermococcus<S>Thermococcus_barophilus
Thermococcus_barophilus_MP_Complete_GCF000151105v2.RefSeq <D>Archaea<P>Euryarchaeota<C>Thermococci<O>Thermococcales<F>Thermococcaceae<G>Thermococcus<S>Thermococcus_barophilus
Thermococcus_litoralis_DSM_5473_Complete_GCF000246985v2.RefSeq <D>Archaea<P>Euryarchaeota<C>Thermococci<O>Thermococcales<F>Thermococcaceae<G>Thermococcus<S>Thermococcus_litoralis
Thermococcus_sibiricus_MM_739_Complete_GCF000022545v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Thermococci<O>Thermococcales<F>Thermococcaceae<G>Thermococcus<S>Thermococcus_sibiricus
Thermococcus_piezophilus_Strain_CDGS_WGS_GCF001647085v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Thermococci<O>Thermococcales<F>Thermococcaceae<G>Thermococcus<S>Thermococcus_piezophilus
Thermococcus_celer_Strain_Vu_13_WGS_GCF002214365v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Thermococci<O>Thermococcales<F>Thermococcaceae<G>Thermococcus<S>Thermococcus_celer
Thermococcus_pacificus_Strain_P_4_WGS_GCF002214485v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Thermococci<O>Thermococcales<F>Thermococcaceae<G>Thermococcus<S>Thermococcus_pacificus
Thermococcus_gorgonarius_Strain_W_12_WGS_GCF002214385v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Thermococci<O>Thermococcales<F>Thermococcaceae<G>Thermococcus<S>Thermococcus_gorgonarius
Thermococcus_siculi_Strain_RG_20_WGS_GCF002214505v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Thermococci<O>Thermococcales<F>Thermococcaceae<G>Thermococcus<S>Thermococcus_siculi
Thermococcus_thioreducens_Strain_OGL_20P_WGS_GCF002214545v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Thermococci<O>Thermococcales<F>Thermococcaceae<G>Thermococcus<S>Thermococcus_thioreducens
Thermococcus_barossii_Strain_SHCK_94_WGS_GCF002214465v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Thermococci<O>Thermococcales<F>Thermococcaceae<G>Thermococcus<S>Thermococcus_barossii
Thermococcus_cleftensis_Strain_CL1_Complete_GCF000265525v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Thermococci<O>Thermococcales<F>Thermococcaceae<G>Thermococcus<S>Thermococcus_cleftensis
Thermococcus_eurythermalis_Strain_A501_WGS_GCF000769655v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Thermococci<O>Thermococcales<F>Thermococcaceae<G>Thermococcus<S>Thermococcus_eurythermalis
Thermococcus_nautili_Strain_30_1_WGS_GCF000585495v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Thermococci<O>Thermococcales<F>Thermococcaceae<G>Thermococcus<S>Thermococcus_nautili
Thermococcus_guaymasensis_DSM_11113_WGS_GCF000816105v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Thermococci<O>Thermococcales<F>Thermococcaceae<G>Thermococcus<S>Thermococcus_guaymasensis
