Strain(T),Domain(D),Phylum(P),Class(C),Order(O),Family(F),Genus(G),Species(S)
LC148303,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_knui
JX089328,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_metallicum
MN911322,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_taeanense
KP185152,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_carri
KU758884,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_luteolum
LC221816,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_koreense
LC269319,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_pomorum
LC221817,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_harenae
LC221821,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_gilvum
ARFA01000077,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_panaciterrae
JX089325,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_aerolatum
LC221818,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_terrae
ON724164,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_oryzicola
ON201444,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_liriopis
LC269320,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_agri
KF999686,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_arcticum
MN031264,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_utsteinense
AB681384,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_rigui
ARFD01000223,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_spitsbergense
ARFC01000063,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_luteum
LC221820,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_migulaei
MF993502,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_telluris
MT076056,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_foliorum
MN595015,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_arboris
LC221823,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_litoris
KX853079,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_flavum
LC269317,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_jeollabukense
GQ342559,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_endophyticum
KF303585,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_radiotolerans
LC269316,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_lituiforme
LC269321,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_horti
LC269318,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_humi
KR024033,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_aerophilum
KP974819,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma_pulveris
